pm2_5,month,weekday,hour,wind-east,wind-north,temperature,pressure,humidity,target
17.19,1,6,13,-2.954423,-0.520945,0.1,1010.0,99,18.52
13.27,1,6,14,-2.970804,-0.417519,0.1,1010.1,99,18.28
14.61,1,6,15,-2.963065,-0.469303,0.3,1010.3,98,17.17
18.14,1,6,16,-2.934443,-0.623735,0.3,1010.5,96,17.22
16.62,1,6,18,-1.91261,-0.584743,0.1,1010.5,94,29.9
18.52,1,6,19,-0.544639,-0.838671,0.0,1010.5,94,30.02
18.28,1,6,20,-0.743145,-0.669131,-0.1,1010.4,96,30.05
17.17,1,6,21,-0.544639,-0.838671,-0.1,1010.3,95,29.12
17.22,1,6,22,-0.71934,-0.694658,0.0,1010.1,90,28.89
29.9,1,0,0,0.483844,-1.940591,-0.1,1009.4,76,28.24
30.02,1,0,1,0.381618,-1.963254,-0.2,1009.6,77,26.75
30.05,1,0,2,-0.669131,-0.743145,-0.3,1009.6,80,25.01
29.12,1,0,3,-0.121869,-0.992546,-0.4,1009.3,83,22.64
28.89,1,0,4,0.347296,-1.969616,-0.5,1008.9,83,21.96
28.81,1,0,5,-0.104528,-0.994522,-0.5,1008.5,82,20.85
28.24,1,0,6,0.139173,-0.990268,-0.9,1008.3,83,17.97
26.75,1,0,7,0.584743,-1.91261,-1.5,1008.6,88,16.86
25.01,1,0,8,0.415823,-1.956295,-0.8,1008.8,87,17.52
22.64,1,0,9,0.312869,-1.975377,0.2,1008.7,84,19.5
21.96,1,0,10,-0.313585,-2.983566,1.4,1008.5,76,21.63
20.85,1,0,11,-1.12382,-2.781552,1.9,1008.1,73,25.13
17.97,1,0,12,-1.22021,-2.740636,1.9,1007.5,73,26.94
16.86,1,0,13,-0.243739,-1.985092,1.7,1007.1,73,26.26
17.52,1,0,14,-0.618034,-1.902113,0.7,1006.9,77,28.94
19.5,1,0,15,0.243739,-1.985092,-0.2,1006.8,82,28.3
21.63,1,0,16,0.312869,-1.975377,-0.7,1006.5,85,28.02
25.13,1,0,17,0.415823,-1.956295,-0.9,1006.2,85,7.74
26.94,1,0,18,0.381618,-1.963254,-1.3,1005.9,87,10.44
26.26,1,0,19,0.725766,-2.910887,-1.4,1005.6,89,10.08
28.94,1,0,20,0.572427,-2.944882,-1.3,1005.0,88,10.89
28.3,1,0,21,0.417519,-2.970804,-1.6,1004.6,88,11.46
28.02,1,0,22,1.12382,-2.781552,-2.2,1004.2,89,10.25
7.74,1,0,23,1.02606,-2.819078,-2.7,1003.5,87,10.16
10.44,1,1,0,1.172193,-2.761515,-3.0,1002.4,86,12.46
10.08,1,1,1,1.408415,-2.648843,-3.3,1002.1,86,15.85
10.89,1,1,2,1.454429,-2.623859,-3.6,1001.0,85,16.56
11.46,1,1,3,1.720729,-2.457456,-3.5,999.8,84,16.45
10.25,1,1,4,2.0,-3.464102,-3.7,998.6,84,15.74
10.16,1,1,5,1.498426,-3.708735,-3.3,997.7,83,14.77
12.46,1,1,6,0.826912,-2.883785,-3.3,997.3,83,14.76
15.85,1,1,7,1.12382,-2.781552,-3.1,996.5,84,12.75
16.56,1,1,8,1.690473,-3.625231,-2.5,995.8,82,12.06
16.45,1,1,9,0.694593,-3.939231,-1.5,995.4,76,14.46
15.74,1,1,10,0.694593,-3.939231,-0.2,994.5,69,15.11
14.77,1,1,11,0.831647,-3.91259,0.1,993.7,68,16.09
14.76,1,1,12,0.776457,-2.897777,0.2,992.8,69,17.23
12.75,1,1,13,0.763236,-3.926509,0.5,992.1,69,18.42
12.06,1,1,14,0.877115,-2.868914,0.5,991.5,67,18.09
14.46,1,1,15,0.776457,-2.897777,0.6,990.9,68,18.47
